;Data;ln,pibd,;lin,tendencia;lin,hiato;qua,tendencia;qua,hiato;hp,tendencia;hp,hiato;bp,tendencia;bp,hiato;cf,tendencia;cf,hiato;bn,tendencia;bn,hiato;nou,tendencia;nou,hiato
27;01/09/2002;4,759854569;4,795674486;-0,035819917;4,795674486;-0,035819917;4,756045727;0,003808842;4,75584522;0,004009348;4,752900162;0,006954407;4,757656994;-0,002197575;4,792356991;-0,032502422
28;01/12/2002;4,770653354;4,80140416;-0,030750806;4,80140416;-0,030750806;4,763362407;0,007290947;4,769110263;0,001543091;4,766578316;0,004075038;4,770145175;-0,000508179;4,799230063;-0,028576709
29;01/03/2003;4,76702774;4,807133834;-0,040106094;4,807133834;-0,040106094;4,770963995;-0,003936255;4,774977037;-0,007949297;4,772253714;-0,005225974;4,768006802;0,000979062;4,793084476;-0,026056736
30;01/06/2003;4,757468597;4,812863508;-0,055394911;4,812863508;-0,055394911;4,778870609;-0,021402012;4,776599691;-0,019131094;4,773073229;-0,015604631;4,761437344;0,003968747;4,781532985;-0,024064387
31;01/09/2003;4,766212185;4,818593182;-0,052380998;4,818593182;-0,052380998;4,78709991;-0,020887725;4,79121174;-0,024999555;4,787170394;-0,020958209;4,766757007;0,000544822;4,786295756;-0,020083571
32;01/12/2003;4,777377619;4,824322857;-0,046945237;4,824322857;-0,046945237;4,795656179;-0,018278559;4,799413266;-0,022035647;4,795685576;-0,018307957;4,777095618;-0,000282001;4,793152031;-0,015774412
33;01/03/2004;4,791874668;4,830052531;-0,038177863;4,830052531;-0,038177863;4,804530645;-0,012655977;4,803990894;-0,012116226;4,801135096;-0,009260428;4,789929671;-0,001944996;4,802930181;-0,011055513
34;01/06/2004;4,818390972;4,835782205;-0,017391232;4,835782205;-0,017391232;4,813703112;0,00468786;4,819234339;-0,000843367;4,816871375;0,001519597;4,815511042;-0,00287993;4,82343115;-0,005040178
35;01/09/2004;4,829733054;4,841511879;-0,011778824;4,841511879;-0,011778824;4,823145475;0,006587579;4,823277476;0,006455578;4,820435538;0,009297516;4,828938878;-0,000794176;4,830307337;-0,000574283
36;01/12/2004;4,83849298;4,847241553;-0,008748573;4,847241553;-0,008748573;4,832832558;0,005660422;4,830948342;0,007544638;4,826884498;0,011608483;4,841608639;0,003115659;4,834857146;0,003635834
37;01/03/2005;4,844960338;4,852971227;-0,008010889;4,852971227;-0,008010889;4,842743302;0,002217036;4,841255944;0,003704394;4,836120395;0,008839942;4,848654592;0,003694254;4,837352288;0,00760805
38;01/06/2005;4,86160697;4,858700901;0,002906069;4,858700901;0,002906069;4,852860186;0,008746784;4,863944121;-0,002337151;4,858255262;0,003351708;4,865734408;0,004127438;4,848980614;0,012626356
39;01/09/2005;4,8507801;4,864430575;-0,013650475;4,864430575;-0,013650475;4,863167075;-0,012386975;4,858778589;-0,007998489;4,8527074;-0,001927299;4,855323971;0,004543871;4,836015441;0,014764659
40;01/12/2005;4,865360889;4,870160249;-0,00479936;4,870160249;-0,00479936;4,873653301;-0,008292412;4,876386929;-0,01102604;4,87009566;-0,004734771;4,867623598;0,00226271;4,845848241;0,019512647
41;01/03/2006;4,881631752;4,875889923;0,005741829;4,875889923;0,005741829;4,884300452;-0,0026687;4,891665646;-0,010033894;4,885920592;-0,00428884;4,882782269;0,001150517;4,857239453;0,024392299
42;01/06/2006;4,883730932;4,881619597;0,002111335;4,881619597;0,002111335;4,895084937;-0,011354004;4,889862679;-0,006131747;4,885225796;-0,001494864;4,883993899;0,000262967;4,855990677;0,027740256
43;01/09/2006;4,899908989;4,887349271;0,012559718;4,887349271;0,012559718;4,905981493;-0,006072504;4,901970312;-0,002061323;4,898189749;0,00171924;4,901453738;0,001544749;4,867427455;0,032481534
44;01/12/2006;4,912707557;4,893078945;0,019628611;4,893078945;0,019628611;4,916957764;-0,004250207;4,912803052;-9,55E-05;4,908854028;0,003853529;4,911742034;-0,000965523;4,875920227;0,036787329
45;01/03/2007;4,931796773;4,898808619;0,032988154;4,898808619;0,032988154;4,927977596;0,003819177;4,931498609;0,000298163;4,926605279;0,005191494;4,934837272;0,003040499;4,890149218;0,041647555
46;01/06/2007;4,946801672;4,904538293;0,042263379;4,904538293;0,042263379;4,939002182;0,007799491;4,944423152;0,002378521;4,939037683;0,007763989;4,948165911;0,001364238;4,900834181;0,045967491
47;01/09/2007;4,957362068;4,910267967;0,047094101;4,910267967;0,047094101;4,949995098;0,00736697;4,94842879;0,008933278;4,943939019;0,013423049;4,95964614;0,002284072;4,907667182;0,049694886
48;01/12/2007;4,972332117;4,915997641;0,056334476;4,915997641;0,056334476;4,960924798;0,011407319;4,953443417;0,0188887;4,951079295;0,021252822;4,976998336;0,004666219;4,918595001;0,053737116
49;01/03/2008;4,983325787;4,921727315;0,061598472;4,921727315;0,061598472;4,971764339;0,011561448;4,956901989;0,026423798;4,956635017;0,02669077;4,986531848;0,003206061;4,926116397;0,057209391
50;01/06/2008;5,008172423;4,927456989;0,080715434;4,927456989;0,080715434;4,982493907;0,025678517;4,983623133;0,02454929;4,984296771;0,023875652;5,012005063;0,00383264;4,94622101;0,061951413
51;01/09/2008;5,020535049;4,933186664;0,087348386;4,933186664;0,087348386;4,993100914;0,027434135;5,009759212;0,010775837;5,010412085;0,010122964;5,023356973;0,002821923;4,955325389;0,06520966
52;01/12/2008;4,982565572;4,938916338;0,043649234;4,938916338;0,043649234;5,003588823;-0,021023251;4,992085765;-0,009520193;4,993414713;-0,010849141;4,988040284;0,005474712;4,919522104;0,063043468
53;01/03/2009;4,970655194;4,944646012;0,026009183;4,944646012;0,026009183;5,013978241;-0,043323047;4,997207923;-0,026552729;5,000659188;-0,030003994;4,977281741;0,006626546;4,907251979;0,063403216
54;01/06/2009;4,985830752;4,950375686;0,035455066;4,950375686;0,035455066;5,024276636;-0,038445884;5,017750747;-0,031919995;5,024138746;-0,038307994;4,986833531;0,00100278;4,919430991;0,06639976
55;01/09/2009;5,009317283;4,95610536;0,053211923;4,95610536;0,053211923;5,034464401;-0,025147117;5,033527189;-0,024209906;5,041964303;-0,03264702;5,006445402;-0,002871881;4,939244911;0,070072372
56;01/12/2009;5,03469893;4,961835034;0,072863896;4,961835034;0,072863896;5,044497897;-0,009798967;5,04387466;-0,009175731;5,052512139;-0,017813209;5,028701034;-0,005997896;4,96095997;0,07373896
57;01/03/2010;5,058019251;4,967564708;0,090454543;4,967564708;0,090454543;5,05431777;0,003701481;5,052763341;0,00525591;5,060925293;-0,002906042;5,0520173;-0,006001952;4,981047093;0,076972158
58;01/06/2010;5,067392916;4,973294382;0,094098534;4,973294382;0,094098534;5,063858543;0,003534373;5,053644992;0,013747924;5,062312104;0,005080811;5,069844738;0,002451822;4,988869686;0,07852323
59;01/09/2010;5,076747852;4,979024056;0,097723796;4,979024056;0,097723796;5,07305705;0,003690802;5,060661289;0,016086563;5,071286986;0,005460866;5,08152321;0,004775358;4,996915494;0,079832358
60;01/12/2010;5,09071386;4,98475373;0,10596013;4,98475373;0,10596013;5,081852335;0,008861525;5,074797324;0,015916536;5,087963581;0,002750279;5,096352197;0,005638337;5,009338808;0,081375052
61;01/03/2011;5,106946504;4,990483404;0,1164631;4,990483404;0,1164631;5,090185748;0,016760756;5,0909188;0,016027704;5,105266529;0,001679975;5,112043702;0,005097198;5,024045836;0,082900668
62;01/06/2011;5,113746254;4,996213078;0,117533175;4,996213078;0,117533175;5,098004179;0,015742075;5,097461793;0,016284461;5,110814851;0,002931403;5,117998608;0,004252355;5,0305596;0,083186654
63;01/09/2011;5,11212719;5,001942752;0,110184438;5,001942752;0,110184438;5,105264992;0,006862198;5,097288103;0,014839087;5,108851519;0,003275671;5,115673057;0,003545867;5,02979043;0,082336759
64;01/12/2011;5,121985918;5,007672426;0,114313492;5,007672426;0,114313492;5,111935391;0,010050527;5,111540939;0,010444979;5,122348014;-0,000362096;5,125611735;0,003625817;5,039565012;0,082420906
